Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Horse Name,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price
5,1220,"Bedouin Bloodstock, Agent I ","","Bourbon Flight","","DB/BR",Colt,"Bourbon Flight","McKinzie","Darkwingsoverdubai","","","","","Six Column Stables",170000
5,1221,"Woods Edge Farm (Peter O'Callaghan), Agent ","","Bolt d'Oro --- Dazzletown","","B",Colt,"","Bolt d'Oro","Dazzletown","","","","","Mayberry Farm",270000
5,1222,"Taylor Made Sales Agency, Agent LXVI ","","Texas Holiday","","DB/BR",Filly,"Texas Holiday","Improbable","Dear Elaine","","","","","Shepherd Equine Advisers, Agent for Larry Hirsch",80000
5,1223,"Legacy Bloodstock, Agent XXXIII ","","American Pharoah --- D' Elegance","","DB/BR",Filly,"","American Pharoah","D' Elegance","","","","","Parlay",145000
5,1224,"Woods Edge Farm (Peter O'Callaghan), Agent ","","Joyous Song","","GR/RO",Filly,"Joyous Song","Volatile","Delightfully So","","","","","Tommy Town Thoroughbreds",400000
5,1225,"Scott Mallory, Agent X ","","Munnings --- Desert Duchess","","CH",Filly,"","Munnings","Desert Duchess","","","","","Out",0
5,1226,"Clearsky Farms, Agent II ","","Justify --- Diamond Ore","","CH",Filly,"","Justify","Diamond Ore","","","","","Out",0
5,1227,"Hunter Valley Farm, Agent ","","City of Light --- Diana's Thrill","","B",Colt,"","City of Light","Diana's Thrill","","","","","Jebel Ali Stables / Michael Costa",285000
5,1228,"Taylor Made Sales Agency, Agent for DJ Stables LLC Graduate","","Camp Evans","","B",Colt,"Camp Evans","Street Sense","Diversity","","","","","Gentry Farms",110000
5,1229,"Hill 'n' Dale at Xalapa, Agent ","","Curlin --- Divine Escapade","","CH",Colt,"","Curlin","Divine Escapade","","","","","Jonathan S. Dean",35000
5,1230,"Taylor Made Sales Agency, Agent LVI ","","Constitution --- Divine Heart","","CH",Colt,"","Constitution","Divine Heart","","","","","R.N.A. (100,000)",---
5,1231,"Denali Stud, Agent XLI ","","Advance Authen","","GR/RO",Colt,"Advance Authen","Authentic","Don't Leave Me","","","","","Hideyuki Mori",100000
5,1232,"Eaton Sales, Agent ","","Munnings --- Dora Dora","","DB/BR",Filly,"","Munnings","Dora Dora","","","","","Grove Stud",90000
5,1233,"Denali Stud, Agent XLVI ","","Uncle Mo --- Dorothy B (IRE)","","DB/BR",Colt,"","Uncle Mo","Dorothy B (IRE)","","","","","Out",0
5,1234,"Hunter Valley Farm, Agent ","","Father Time","","CH",Colt,"Father Time","Not This Time","Downwind","","","","","D.J. Stable, LLC",210000
5,1235,"Scott Mallory, Agent for Buena Madera ","","Maclean's Music --- Drip Brew","","DB/BR",Colt,"","Maclean's Music","Drip Brew","","","","","Jebel Ali Stables / Michael Costa",350000
5,1236,"Taylor Made Sales Agency, Agent V ","","Hard Start","","DB/BR",Filly,"Hard Start","Upstart","Dur a Cuire","","","","","R.N.A. (50,000)",---
5,1237,"Hunter Valley Farm, Agent ","","Don't Jinx It","","CH",Filly,"Don't Jinx It","Kitten's Joy","Endless Fancy","","","","","Castleton Lyons",165000
5,1238,"Hunter Valley Farm, Agent ","","Yes It Tiz","","B",Filly,"Yes It Tiz","Tiz the Law","Entangle (GB)","","","","","Full of Run Racing II, LLC",110000
5,1239,"Lane's End, Agent ","","Omaha Beach --- Escultura","","B",Colt,"","Omaha Beach","Escultura","","","","","West Bloodstock, Agent for Repole Stable",200000
5,1240,"Woods Edge Farm (Peter O'Callaghan), Agent ","","Magadan","","CH",Colt,"Magadan","Vekoma","Essential Point","","","","","Glockenburg Holdings Anstalt",50000
5,1241,"Penn Sales ","","Blame --- Eve Harrington","","DB/BR",Colt,"","Blame","Eve Harrington","","","","","Lothenbach Stables, Inc.",130000
5,1242,"Elm Tree Farm LLC (Mr. and Mrs. Jody Huckabay), Agent II ","","Volatile --- Exclude (GB)","","B",Colt,"","Volatile","Exclude (GB)","","","","","B B B",100000
5,1243,"Lane's End, Agent ","","Game Winner --- Eyepopnruby","","B",Colt,"","Game Winner","Eyepopnruby","","","","","Elusive Thoroughbreds",70000
5,1244,"Elm Tree Farm LLC (Mr. and Mrs. Jody Huckabay), Agent for Brookfield Stud","","Dancing Drums","","B",Filly,"Dancing Drums","McKinzie","Fancy and Flashy","","","","","Kenneth McPeek, Agent",100000
5,1245,"Taylor Made Sales Agency, Agent XXXVI ","","Game Winner --- Fashion Runaway","","B",Filly,"","Game Winner","Fashion Runaway","","","","","Dino Trombetta",55000
5,1246,"Hunter Valley Farm, Agent ","","Vekoma --- Fay Na Na","","CH",Filly,"","Vekoma","Fay Na Na","","","","","Out",0
5,1247,"Lane's End, Agent ","","Liam's Map --- Fiftyshays Ofgreen","","GR/RO",Filly,"","Liam's Map","Fiftyshays Ofgreen","","","","","Nice Guys Stables",180000
5,1248,"Stonehaven Steadings ","","Uncle Mo --- Figure of Speech","","B",Filly,"","Uncle Mo","Figure of Speech","","","","","R.N.A. (145,000)",---
5,1249,"Hill 'n' Dale at Xalapa, Agent ","","Salmiakki","","DB/BR",Filly,"Salmiakki","Twirling Candy","Finn's Jewel","","","","","R.N.A. (35,000)",---
5,1250,"Lane's End, Agent for Coteau Grove Farms ","","Munnings --- Firefoot","","B",Filly,"","Munnings","Firefoot","","","","","Crown Investment",125000
5,1251,"Denali Stud, Agent X ","","Liam's Map --- Fly Me to Dubai","","GR/RO",Colt,"","Liam's Map","Fly Me to Dubai","","","","","Cheyenne Stables",185000
5,1252,"Legacy Bloodstock, Agent III ","","Senor Rojo","","CH",Colt,"Senor Rojo","Maclean's Music","Follow My Tail","","","","","R.N.A. (140,000)",---
5,1253,"Scott Mallory, Agent for Determined Stud ","","White Deer","","DB/BR",Filly,"White Deer","Violence","Forecast","","","","","Suliman Bloodstock",15000
5,1254,"Hunter Valley Farm, Agent ","","Forever Seeker","","DB/BR",Colt,"Forever Seeker","Seeking the Soul","Forever Unbridled","","","","","R.N.A. (175,000)",---
5,1255,"Gainesway, Agent III ","","Beautiful Crazy","","B",Filly,"Beautiful Crazy","Oscar Performance","Fox Green","","","","","X-Men Racing/Madaket/SF Racing",100000
5,1256,"Lane's End, Agent ","","Speightstown --- Frank's Folly","","B",Filly,"","Speightstown","Frank's Folly","","","","","R.N.A. (100,000)",---
5,1257,"Gainesway, Agent XXXI ","","Berezhok","","CH",Colt,"Berezhok","Vekoma","Freethinker","","","","","Glockenburg Holdings Anstalt",150000
5,1258,"Eaton Sales, Agent ","","Into Mischief --- From the Hood","","B",Filly,"","Into Mischief","From the Hood","","","","","Out",0
5,1259,"Denali Stud, Agent XXXV ","","Soundslikeamemory","","B",Filly,"Soundslikeamemory","Uncle Mo","Fuhriously Kissed","","","","","Flurry Racing Stables",250000
5,1260,"Glen Hill Farm ","","Fozzer","","DB/BR",Filly,"Fozzer","More Than Ready","Fujairah","","","","","Michael A. Foster",95000
5,1261,"Darby Dan Farm, Agent VII ","","Volatile --- Fully Equipped","","GR/RO",Colt,"","Volatile","Fully Equipped","","","","","R.N.A. (70,000)",---
5,1262,"Darby Dan Farm, Agent II ","","Flameaway --- Funny Proposition","","B",Colt,"","Flameaway","Funny Proposition","","","","","Jeffrey Bloom, Agent for The Line Racing",35000
5,1263,"Hill 'n' Dale at Xalapa, Agent ","","Authentic Gallop","","DB/BR",Colt,"Authentic Gallop","Authentic","Galloping Ami","","","","","Greg Tramontin",300000
5,1264,"Eaton Sales, Agent ","","Blake James","","B",Colt,"Blake James","Audible","Gambiarra","","","","","Barry Berkelhammer, Agent",45000
5,1265,"Denali Stud, Agent XLVI ","","Summer of George","","CH",Colt,"Summer of George","Authentic","Giant's Causey","","","","","Joe Hardoon, Agent ",285000
5,1266,"Hunter Valley Farm, Agent ","","Shanett","","B",Filly,"Shanett","McKinzie","Gold Beach","","","","","Randy Finegan",15000
5,1267,"Summerfield (Francis and Barbara Vanlangendonck), Agent for Stonestreet Bred & Raised","","Speightstown --- Gold Standard","","CH   ",Colt,"","Speightstown","Gold Standard","","","","","R.N.A. (120,000)",---
5,1268,"Denali Stud, Agent for Stonestreet Bred & Raised ","","Munnings --- Good Fairy","","CH",Colt,"","Munnings","Good Fairy","","","","","Mike Ryan, Agent",375000
5,1269,"Bedouin Bloodstock, Agent IX ","","Complexity --- Great Family","","B",Colt,"","Complexity","Great Family","","","","","R.N.A. (125,000)",---
5,1270,"Taylor Made Sales Agency, Agent VII ","","Munnystruck","","DB/BR",Colt,"Munnystruck","Munnings","Great Soul","","","","","Shirley Camilleri",120000
5,1271,"Machmer Hall Sales, Agent for Machmer Hall I ","","Sudden Rise","","DB/BR",Filly,"Sudden Rise","Upstart","Happening","","","","","R.N.A. (65,000)",---
5,1272,"Legacy Bloodstock, Agent XLI ","","Frosted Gold","","B",Filly,"Frosted Gold","Frosted","Haraawa","","","","","Out",0
5,1273,"Bedouin Bloodstock, Agent VI ","","Cuban Cowboy","","B",Colt,"Cuban Cowboy","Twirling Candy","Heart Stealer","","","","","Out",0
5,1274,"Claiborne Farm, Agent ","","War of Will --- Heels","","B    ",Colt,"","War of Will","Heels","","","","","R.N.A. (45,000)",---
5,1275,"Machmer Hall Sales, Agent for Machmer Hall and D & J Racing ","","Gift Box --- Henley","","B",Filly,"","Gift Box","Henley","","","","","Out",0
5,1276,"Hill 'n' Dale at Xalapa, Agent ","","Authentic --- Heykittykittykitty","","CH",Colt,"","Authentic","Heykittykittykitty","","","","","R.N.A. (160,000)",---
5,1277,"Stonehaven Steadings ","","Nyquist --- High Heeled Girl","","CH",Filly,"","Nyquist","High Heeled Girl","","","","","Red Wings",250000
5,1278,"Claiborne Farm, Agent ","","City of Light --- High So Ci","","B    ",Colt,"","City of Light","High So Ci","","","","","Mike Ryan, Agent",130000
5,1279,"Denali Stud, Agent for Stonestreet Bred & Raised ","","Nyquist --- Hillaby","","B",Filly,"","Nyquist","Hillaby","","","","","Fiasco Farms LTD.",125000
5,1280,"Lane's End, Agent ","","Light Three","","B",Colt,"Light Three","City of Light","Hollidaze","","","","","Yamaguchi Stable",170000
5,1281,"Equus Farm (Jerry Cummins/Paul Adams), Agent I ","","World of Trouble --- Holy Fashion","","CH",Filly,"","World of Trouble","Holy Fashion","","","","","R.N.A. (35,000)",---
5,1282,"Denali Stud, Agent XXXIV ","","Home First","","B",Filly,"Home First","Game Winner","Homeschooling","","","","","West Point, LEB, Agent",200000
5,1283,"Moreau Bloodstock Int'l Inc., Agent ","","Authentic --- Honour Isabel","","B",Colt,"","Authentic","Honour Isabel","","","","","Tom McCrocklin",130000
5,1284,"Hill 'n' Dale at Xalapa, Agent ","","Ghostzapper --- Hope Bay","","B    ",Colt,"","Ghostzapper","Hope Bay","","","","","CM Thoroughbreds",3000
5,1285,"Hill 'n' Dale at Xalapa, Agent ","","Kitten's Joy --- Hopping Not Hoping","","DB/BR",Colt,"","Kitten's Joy","Hopping Not Hoping","","","","","CHC Inc. / Qatar Racing",585000
5,1286,"Machmer Hall Sales, Agent for Machmer Hall et al. III ","","Hot Promise","","CH",Colt,"Hot Promise","Promises Fulfilled","Hot Fun","","","","","Quarter Pole Enterprises LLC",110000
5,1287,"Winter Quarter Farm, Agent ","","Evie's Eyebrows","","B",Filly,"Evie's Eyebrows","Mitole","House of Fortune","","","","","Ike and Dawn Thrash",130000
5,1288,"Gainesway, Agent XXXI ","","Vekoma --- Hua Mulan","","GR/RO",Colt,"","Vekoma","Hua Mulan","","","","","G  S Inversiones Hipicas LLC",250000
5,1289,"Upson Downs Farm, Agent IV ","","Improbable --- I Know That Mom","","CH",Colt,"","Improbable","I Know That Mom","","","","","SGV Thoroughbreds, LLC",100000
5,1290,"Hunter Valley Farm, Agent ","","Cashmere Cloud","","GR/RO",Filly,"Cashmere Cloud","Volatile","I'm Guilty","","","","","Kenneth McPeek, Agent",250000
5,1291,"Castle Park Farm LLC (Noel Murphy), Agent VIII ","","Magiccrest","","B    ",Filly,"Magiccrest","Good Magic","I'm the Reason","","","","","R.N.A. (10,000)",---
5,1292,"Glen Hill Farm ","","Improbable --- Inaugurate","","B",Colt,"","Improbable","Inaugurate","","","","","Elena Racing Inc.",125000
5,1293,"Hunter Valley Farm, Agent ","","McKinzie --- Indy Annestesia","","B",Colt,"","McKinzie","Indy Annestesia","","","","","Quarter Pole Enterprises LLC",160000
5,1294,"Taylor Made Sales Agency, Agent LXX ","","Ztargovon","","DB/BR",Colt,"Ztargovon","Omaha Beach","In Jail","","","","","Meridian",240000
5,1295,"Lane's End, Agent ","","American Pharoah --- Interrupted","","B",Colt,"","American Pharoah","Interrupted","","","","","Katsumi Yoshida",130000
5,1296,"Machmer Hall Sales, Agent for Machmer Hall and Picturesque Farm","","Tom's d'Etat --- Into Reality","","DB/BR",Colt,"","Tom's d'Etat","Into Reality","","","","","Out",0
5,1297,"Scott Mallory, Agent for Determined Stud ","","By Request","","B",Filly,"By Request","Mendelssohn","Invitation (IRE)","","","","","Wayne R. Sanders/Kat Kirk",75000
5,1298,"Gainesway, Agent for Bonne Chance Farm, LLC ","","Lady Iva","","B",Filly,"Lady Iva","Uncle Mo","Iva","","","","","Clarmont Racing & Hidden Brook",325000
5,1299,"Clearsky Farms, Agent I ","","Munnings --- Jade d'Oro","","B",Filly,"","Munnings","Jade d'Oro","","","","","Lindy Farms",200000
5,1300,"Gainesway, Agent XIX ","","Map of Donegal","","DB/BR",Colt,"Map of Donegal","Liam's Map","Jazz Tune","","","","","Donegal Racing by Jerry Crawford",200000
5,1301,"Gainesway, Agent XLV ","","Napa Girl","","DB/BR",Filly,"Napa Girl","Authentic","Jennifer's Dream","","","","","StarLadies Racing",100000
5,1302,"Taylor Made Sales Agency, Agent CXVI ","","Not This Time --- Jewel of Arabia","","DB/BR",Colt,"","Not This Time","Jewel of Arabia","","","","","Out",0
5,1303,"Gainesway, Agent XLIV ","","Gun Runner --- Jing","","B",Filly,"","Gun Runner","Jing","","","","","Out",0
5,1304,"Castle Park Farm LLC (Noel Murphy), Agent VI ","","Volatile Jinny","","DB/BR",Filly,"Volatile Jinny","Volatile","Jinny Jump Up","","","","","Meridian",140000
5,1305,"Woods Edge Farm (Peter O'Callaghan), Agent ","","McKinzie --- Karpathos","","DB/BR",Colt,"","McKinzie","Karpathos","","","","","Toby Stables",150000
5,1306,"Eaton Sales, Agent ","","Luz de Guia","","B",Colt,"Luz de Guia","Tiz the Law","Kathy's Clown","","","","","Mossarosa",290000
5,1307,"Elm Tree Farm LLC (Mr. and Mrs. Jody Huckabay), Agent for Stonestreet Bred & Raised","","Nyquist --- Kauai Katie","","CH   ",Filly,"","Nyquist","Kauai Katie","","","","","R.N.A. (95,000)",---
5,1308,"Hill 'n' Dale at Xalapa, Agent ","","Love You More","","CH",Filly,"Love You More","Maclean's Music","Keen Mischief","","","","","Barry K. Schwartz",200000
5,1309,"Denali Stud, Agent XLVI ","","Tiz the Law --- Keesha","","DB/BR",Colt,"","Tiz the Law","Keesha","","","","","MV Magnier & Ron Winchell",335000
5,1310,"Hunter Valley Farm, Agent ","","Filoso","","DB/BR",Colt,"Filoso","City of Light","Kenda","","","","","Joe Hardoon, Agent",210000
5,1311,"Winter Quarter Farm, Agent ","","Street Boss --- Kinda Blue","","B",Colt,"","Street Boss","Kinda Blue","","","","","Waves Bloodstock",40000
5,1312,"Legacy Bloodstock, Agent XLI ","","Smooth Claret","","CH",Filly,"Smooth Claret","Vino Rosso","Kitzys Rocket","","","","","R.N.A. (70,000)",---
5,1313,"Columbiana Farm LLC, Agent ","","Finkle","","GR/RO",Colt,"Finkle","Volatile","Knk's Dolce Vita","","","","","BBN Racing VI",85000
5,1314,"Summerfield (Francis and Barbara Vanlangendonck), Agent for Stonestreet Bred & Raised","","Moochie Girl","","B    ",Filly,"Moochie Girl","Munnings","La Burnett","","","","","Ben Colebrook",50000
5,1315,"Gainesway, Agent XXX ","","War Front --- Lady Bingo (IRE)","","B",Colt,"","War Front","Lady Bingo (IRE)","","","","","Out",0
5,1316,"Lane's End, Agent ","","A. P. Kid","","DB/BR",Colt,"A. P. Kid","Honor A. P.","Lady Mamba","","","","","Donegal Racing by Jerry Crawford",275000
5,1317,"Denali Stud, Agent III ","","Twirling Candy --- Lady Suebee","","B",Colt,"","Twirling Candy","Lady Suebee","","","","","Bushypark Stables",25000
5,1318,"Hill 'n' Dale at Xalapa, Agent ","","Bolt d'Oro --- Lake Como","","B",Colt,"","Bolt d'Oro","Lake Como","","","","","Royal Flush Racing",85000
5,1319,"Clarkland Farm, LLC ","","Bowtie Or Notie","","B",Filly,"Bowtie Or Notie","Maximus Mischief","La Piba","","","","","Joel Politi",70000
5,1320,"Claiborne Farm, Agent ","","Candy Ride (ARG) --- Laquezza","","B    ",Filly,"","Candy Ride (ARG)","Laquezza","","","","","Three Diamonds Farm",75000
5,1321,"Taylor Made Sales Agency, Agent for WinStar Farm Bred & Raised ","","Justify --- Last Dance","","B",Filly,"","Justify","Last Dance","","","","","Out",0
5,1322,"Stonehaven Steadings ","","Not This Time --- La Titina","","CH",Colt,"","Not This Time","La Titina","","","","","Hartley/DeRenzo ",310000
5,1323,"Woods Edge Farm (Peter O'Callaghan), Agent ","","Zardun","","DB/BR",Colt,"Zardun","City of Light","Laudation","","","","","FMQ Stables",350000
5,1324,"Taylor Made Sales Agency, Agent LVI ","","Private Flight","","B",Colt,"Private Flight","More Than Ready","Laughing Matters","","","","","Taproot for Lee Lewis",310000
5,1325,"Hunter Valley Farm, Agent ","","Pootoogook","","B",Filly,"Pootoogook","Munnings","Laurier","","","","","Dewsweepers III",120000
5,1326,"Scott Mallory, Agent for Buena Madera ","","Final Data","","B",Colt,"Final Data","Audible","Leafs Dream","","","","","Gary Barber & Pantofel Stables",85000
5,1327,"Eaton Sales, Agent for Longford Farm ","","Sweet Music","","DB/BR",Filly,"Sweet Music","Maclean's Music","Lenatareese","","","","","Miracle Logistics Inc.",42000
5,1328,"Highgate Sales, Agent XXVI ","","Tiz the Law --- Lerici","","B",Filly,"","Tiz the Law","Lerici","","","","","Eddie Kenneally, Agent",25000
5,1329,"Gainesway, Agent XLIV ","","Candy Ride (ARG) --- Lethal Hunter","","B",Colt,"","Candy Ride (ARG)","Lethal Hunter","","","","","Jebel Ali Stables / Michael Costa",500000
5,1330,"Nursery Place, Agent ","","Blame --- Letter of the Law","","B",Filly,"","Blame","Letter of the Law","","","","","Durcan Bloodstock/Longways Stables",85000
5,1331,"Claiborne Farm, Agent ","","Elektra King","","B",Filly,"Elektra King","More Than Ready","Let Yourself Go","","","","","Out",0
5,1332,"Woods Edge Farm (Peter O'Callaghan), Agent ","","Improbable --- Libby's Tail","","B",Colt,"","Improbable","Libby's Tail","","","","","Eddie Woods, Agent for Michael Rullo",135000
5,1333,"Bedouin Bloodstock, Agent X ","","Probale Ten","","CH",Colt,"Probale Ten","Improbable","Life At Ten","","","","","Chapman and Tsujimoto",37000
5,1334,"Taylor Made Sales Agency, Agent LVI ","","McKinzie --- Lily Con","","B",Colt,"","McKinzie","Lily Con","","","","","John Strauss",100000
5,1335,"Woods Edge Farm (Peter O'Callaghan), Agent ","","Not This Time --- Literary Critic","","B",Colt,"","Not This Time","Literary Critic","","","","","Out",0
5,1336,"Highgate Sales, Agent XXV ","","Brave Samantha","","B",Filly,"Brave Samantha","City of Light","Little Hidden Gem","","","","","Mike Heitzmann, Agent",140000
5,1337,"Claiborne Farm, Agent ","","Flatter --- Long Leaf","","CH   ",Filly,"","Flatter","Long Leaf","","","","","Runthetable Stables",50000
5,1338,"Moreau Bloodstock Int'l Inc. ","","Listen and Learn","","B",Filly,"Listen and Learn","Caracaro","Longride to Wisdom","","","","","John Ballantyne/NBS Stable",175000
5,1339,"Denali Stud, Agent XLIV ","","You're So Vain","","DB/BR",Filly,"You're So Vain","More Than Ready","Look At Me (IRE)","","","","","Housatonic Bloodstock, Agent for Wasabi",110000
5,1340,"Lane's End, Agent ","","Liam's Map --- Lough Derg","","B",Filly,"","Liam's Map","Lough Derg","","","","","Out",0
5,1341,"Gainesway, Agent XL ","","American Pharoah --- Lovely Caroline","","GR/RO",Filly,"","American Pharoah","Lovely Caroline","","","","","Tom McCrocklin",70000
5,1342,"Gainesway, Agent XXXI ","","Good Magic --- Love That","","B",Colt,"","Good Magic","Love That","","","","","Out",0
5,1343,"Gainesway, Agent for Bonne Chance Farm, LLC ","","Improbable --- Lucas Street","","CH",Colt,"","Improbable","Lucas Street","","","","","R.N.A. (40,000)",---
5,1344,"Denali Stud, Agent VII ","","Nyquist --- Lucky Cover","","DB/BR",Filly,"","Nyquist","Lucky Cover","","","","","Lucan Bloodstock",125000
5,1345,"Legacy Bloodstock, Agent for Fred Alexander ","","Upstart --- Lustful","","B",Filly,"","Upstart","Lustful","","","","","Richard Baltas, Agt. for Calvin Nguyen & Joey Tran",185000
5,1346,"Gainesway, Agent XXXI ","","Gun Runner --- Madame Mayra","","CH",Filly,"","Gun Runner","Madame Mayra","","","","","West Bloodstock, Agent for Repole Stable",275000
5,1347,"Taylor Made Sales Agency, Agent LVI ","","McKinzie --- Made to Measure","","B",Filly,"","McKinzie","Made to Measure","","","","","Kinsman Farm",225000
5,1348,"Highgate Sales, Agent XIII ","","Volatile --- Magicalcarpetride","","GR/RO",Colt,"","Volatile","Magicalcarpetride","","","","","Barry Berkelhammer, Agent",175000
5,1349,"Lane's End, Agent ","","City of Light --- Majestic Bonnie","","B",Colt,"","City of Light","Majestic Bonnie","","","","","Michael McCarthy, Agent",310000
5,1350,"Hunter Valley Farm, Agent ","","It's America","","CH",Colt,"It's America","Omaha Beach","Malibu June","","","","","Niagara Bloodstock",40000
5,1351,"Lane's End, Agent ","","Pencil Bluff","","DB/BR",Colt,"Pencil Bluff","Nyquist","Malibu Model","","","","","Shortleaf Stable",310000
5,1352,"Denali Stud, Agent XLV ","","Volatile --- Malibu Prayer","","GR/RO",Colt,"","Volatile","Malibu Prayer","","","",""," Double D Sales",150000
5,1353,"Eaton Sales, Agent for Beryl N. Stokes, Jr. Family Trust ","","Bright Lights Joe","","DB/BR",Colt,"Bright Lights Joe","City of Light","Malibu Stacy","","","","","Ike and Dawn Thrash",120000
5,1354,"Bluewater Sales LLC, Agent XVI ","","Jimmy's Dailys","","B",Colt,"Jimmy's Dailys","Vekoma","Mama Joyce","","","","","Out",0
5,1355,"Hunter Valley Farm, Agent ","","Street Sense --- Maqboola","","B",Filly,"","Street Sense","Maqboola","","","","","CF Bloodstock ",60000
5,1356,"Gainesway, Agent XXXI ","","Volatile --- Martini","","B",Colt,"","Volatile","Martini","","","","","Quarter Pole Enterprises LLC",200000
5,1357,"Machmer Hall Sales, Agent for Machmer Hall ","","Volatile --- Marvelous Spot","","GR/RO",Filly,"","Volatile","Marvelous Spot","","","","","America's Thoroughbred Investors",120000
5,1358,"Runnymede Farm LLC, Agent ","","Everloving","","DB/BR",Filly,"Everloving","Violence","Marwa (GB)","","","","","Joel Politi",80000
5,1359,"Highgate Sales, Agent XXIV ","","Pretti Boujee","","B",Filly,"Pretti Boujee","Hard Spun","Max's Warrior","","","","","Xtreme Racing Stables LLC",90000
5,1360,"Clarkland Farm, LLC ","","Mastery --- Maybellene","","B",Colt,"","Mastery","Maybellene","","","","","Chad Schumer, Agent",17000
5,1361,"Pope McLean (Crestwood Farm), Agent VI ","","Mad About Marie","","DB/BR",Filly,"Mad About Marie","Game Winner","Media Madness","","","","","Ike and Dawn Thrash",75000
5,1362,"Hill 'n' Dale at Xalapa, Agent ","","Army Mule --- Mezcalita","","DB/BR",Filly,"","Army Mule","Mezcalita","","","","","Belladonna Racing VI, Cherie DeVaux, Agent",270000
5,1363,"Bluewater Sales LLC, Agent XXVII ","","More Than Ready --- Midnight Bliss","","DB/BR",Filly,"","More Than Ready","Midnight Bliss","","","","","Cool Hill ",75000
5,1364,"Denali Stud, Agent X ","","Munnings --- Minestorm","","CH",Filly,"","Munnings","Minestorm","","","","","Chief Horse Futures",250000
5,1365,"Denali Stud, Agent XIX ","","Miss Pharaoh","","B",Filly,"Miss Pharaoh","American Pharoah","Miss Challenge","","","","","Harris Farms / Todd Fischer",100000
5,1366,"Highgate Sales, Agent XIV ","","Violence --- Missdealornodeal","","DB/BR",Filly,"","Violence","Missdealornodeal","","","","","Ahern Investments",55000
5,1367,"Bluewater Sales LLC, Agent XV ","","Rancho","","GR/RO",Colt,"Rancho","Candy Ride (ARG)","Miss Julia Star (FR)","","","","","Ed & Susie Orr",110000
5,1368,"Taylor Made Sales Agency, Agent CXXII ","","Boss Lady J","","CH",Filly,"Boss Lady J","Audible","Miss Matzo","","","","","Out",0
5,1369,"Pope McLean (Crestwood Farm), Agent V ","","Dancing Shadows","","B",Filly,"Dancing Shadows","Mendelssohn","Miz Ida","","","","","R.N.A. (40,000)",---
5,1370,"Claiborne Farm, Agent ","","Wicked Las","","B    ",Filly,"Wicked Las","Into Mischief","Mo Dean","","","","","Holy Cow Stables, LLC",125000
5,1371,"Winter Quarter Farm, Agent for L. Neil Jones ","","Frisco","","B",Colt,"Frisco","Bernardini","Model","","","","","David Hinkins",65000
5,1372,"Legacy Bloodstock, Agent for WinStar Farm Bred & Raised ","","Art Nouveau","","DB/BR",Filly,"Art Nouveau","Constitution","Modern Masterpiece","","","","","Out",0
5,1373,"Greenfield Farms, Agent XVII ","","Payada","","B",Filly,"Payada","Bernardini","Mollify","","","","","R.N.A. (180,000)",---
5,1374,"Bedouin Bloodstock, Agent IX ","","Vekoma --- Molly McGee","","B",Filly,"","Vekoma","Molly McGee","","","","","Exline Border Racing",170000
5,1375,"Gainesway, Agent XXXI ","","Minty","","B",Filly,"Minty","McKinzie","Moneybru","","","","","D.J. Stable, LLC",165000
5,1376,"Scott Mallory, Agent for Buena Madera ","","Romanesque","","B",Colt,"Romanesque","Practical Joke","Mony'slittlegracie","","","","","Donato Lanni, Agt. for SF/Starlight/Madaket",435000
5,1377,"Bedouin Bloodstock, Agent VII ","","Fling Ready","","B",Colt,"Fling Ready","More Than Ready","Moonlight Romance","","","","","John Ballantyne/NBS Stable",350000
5,1378,"Hill 'n' Dale at Xalapa, Agent ","","Justify --- Movie Moment","","B",Colt,"","Justify","Movie Moment","","","","","Out",0
5,1379,"Hill 'n' Dale at Xalapa, Agent ","","Chasing Glory","","B    ",Filly,"Chasing Glory","Medaglia d'Oro","Murrells Inlet","","","","","Colt Pike, Agent for Levings Racing LLC  ",25000
5,1380,"Glen Hill Farm ","","War of Will --- Mutually Benefit","","B",Colt,"","War of Will","Mutually Benefit","","","","","BBA Ireland ",45000
5,1381,"Gainesway, Agent XI ","","Geez Eloise","","B",Filly,"Geez Eloise","Vekoma","My Fair Lily","","","","","Out",0
5,1382,"Eaton Sales, Agent ","","Maclean's Music --- My Happy Place","","DB/BR",Colt,"","Maclean's Music","My Happy Place","","","","","R.N.A. (160,000)",---
5,1383,"Gainesway, Agent XXXI ","","Game Winner --- My Lady Munnings","","DB/BR",Colt,"","Game Winner","My Lady Munnings","","","","","Out",0
5,1384,"Taylor Made Sales Agency, Agent LXVIII ","","Bolt d'Oro --- My Midnight Affair","","DB/BR",Colt,"","Bolt d'Oro","My Midnight Affair","","","","","Victoria's Ranch",105000
5,1385,"GreenMount Farm ","","Old Diamond","","DB/BR",Filly,"Old Diamond","Improbable","Mystic Love","","","","","Mubarak Alotaibi",20000
5,1386,"Woods Edge Farm (Peter O'Callaghan), Agent ","","Bye Bye Miles","","CH",Colt,"Bye Bye Miles","Authentic","Nefertiti","","","","","B-4 Farms",310000
5,1387,"Denali Stud, Agent XXVIII ","","Constitution --- Nickel","","GR/RO",Colt,"","Constitution","Nickel","","","","","Out",0
